Символ,Код
вх,111111110101111
уи,111111110110000
яп,111111110110001
дж,111111110110010
сг,111111110110011
км,111111110110100
хе,111111110110101
мч,111111110110110
мц,111111110110111
-у,111111110111000
ч…,111111110111001
ь»,111111110111010
жб,111111110111011
е»,111111110111100
у…,111111110111101
"г,",111111110111110
й:,111111110111111
т…,111111111000000
вч,111111111000001
ы…,111111111000010
"
я",111111111000011
"
е",111111111000100
ю;,111111111000101
чр,111111111000110
мг,111111111000111
дъ,111111111001000
жо,111111111001001
рщ,111111111001010
лз,111111111001011
зт,111111111001100
сд,111111111001101
сш,111111111001110
(о,111111111001111
«д,111111111010000
»),111111111010001
"),",111111111010010
х…,111111111010011
рб,111111111010100
"
д",111111111010101
iv,111111111010110
съ,111111111010111
йл,111111111011000
й»,111111111011001
ьд,111111111011010
т;,111111111011011
тъ,111111111011100
ьб,111111111011101
нж,111111111011110
м!,111111111011111
бк,111111111100000
«б,111111111100001
-в,111111111100010
дх,111111111100011
с?,111111111100100
б?,111111111100101
эх,111111111100110
х!,111111111100111
я-,111111111101000
нд,111111111101001
яр,111111111101010
яв,111111111101011
"
ч",111111111101100
«в,111111111101101
"
м",111111111101110
"
v",111111111101111
лб,111111111110000
а;,111111111110001
и:,111111111110010
иу,111111111110011
я:,111111111110100
ы!,111111111110101
 №,111111111110110
№ ,111111111110111
 1,111111111111000
17,111111111111001
"7,",111111111111010
рш,111111111111011
зр,111111111111100
р:,111111111111101
ы;,11111111111111
